bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Samael,www.samael.info/,70000tons.com/wp-content/uploads/2024/04/SAMAEL_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Samael,http://www.metal-archives.com/search?searchString=Samael&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Samael,Switzerland,Electronic/Industrial Metal,,2018 2016 2012
Delain,www.delain.nl/,70000tons.com/wp-content/uploads/2024/04/DELAIN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Delain,http://www.metal-archives.com/search?searchString=Delain&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Delain,Netherlands,Melodic-Symphonic Metal,,2019 2016 2013
Septicflesh,www.septicflesh.com/,70000tons.com/wp-content/uploads/2024/04/SEPTICFLESH_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Septicflesh,http://www.metal-archives.com/search?searchString=Septicflesh&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Septicflesh,Greece,Atmospheric/Symphonic Death Metal,,2018 2014
Beyond Creation,beyondcreationofficial.com/,70000tons.com/wp-content/uploads/2024/04/BEYONDCREATION_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Beyond%20Creation,http://www.metal-archives.com/search?searchString=Beyond%20Creation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Beyond%20Creation,Canada,Progressive/Technical Death Metal,,2018
Sonata Arctica,www.sonataarctica.info/,70000tons.com/wp-content/uploads/2024/04/SONATA-ARCTICA_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Sonata%20Arctica,http://www.metal-archives.com/search?searchString=Sonata%20Arctica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sonata%20Arctica,Finland,Power Metal,,2018 2011
Subway To Sally,subwaytosally.com/,70000tons.com/wp-content/uploads/2024/05/SUBWAYTOSALLY_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Subway%20To%20Sally,http://www.metal-archives.com/search?searchString=Subway%20To%20Sally&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Subway%20To%20Sally,Germany,Folk Metal,,2019 2016 2013
Arcturus,www.benighted.fr/,70000tons.com/wp-content/uploads/2024/05/ARCTURUS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Arcturus,http://www.metal-archives.com/search?searchString=Arcturus&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arcturus,Norway,Avant-garde Progressive Metal,,Never
Hammerfall,www.hammerfall.net/,70000tons.com/wp-content/uploads/2024/05/HAMMERFALL_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Hammerfall,http://www.metal-archives.com/search?searchString=Hammerfall&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hammerfall,Sweden,Heavy/Power Metal,,2016 2012
Decapitated,www.decapitatedband.net/,70000tons.com/wp-content/uploads/2024/05/DECAPITATED_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Decapitated,http://www.metal-archives.com/search?searchString=Decapitated&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Decapitated,Poland,Technical Death Metal/Death/Groove Metal,,Never
Unleash The Archers,unleashthearchers.com/,70000tons.com/wp-content/uploads/2024/05/UNLEASHARCHERS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Unleash%20The%20Archers,http://www.metal-archives.com/search?searchString=Unleash%20The%20Archers&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Unleash%20The%20Archers,Canada,Power Metal,,2019
Crownshift,www.crownshiftofficial.com/,70000tons.com/wp-content/uploads/2024/07/jsdfjfsidj349vzz.png,https://www.youtube.com/results?search_query=official+music%20video+Crownshift,http://www.metal-archives.com/search?searchString=Crownshift&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Crownshift,Finland,Melodic Groove/Power Metal,,Never
