Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Twilight Force,Boleros,02/5/16,Fri,17:00,18:00,Meet and Greet,,,,,
Fallujah,Boleros,02/5/16,Fri,18:00,19:00,Meet and Greet,,,,,
Fleshgod Apocalypse,Boleros,02/5/16,Fri,18:00,19:00,Meet and Greet,,,,,
Ancient Rites,Boleros,02/5/16,Fri,19:00,20:00,Meet and Greet,,,,,
Belphegor,Boleros,02/5/16,Fri,19:00,20:00,Meet and Greet,,,,,
Squealer,Boleros,02/5/16,Fri,20:00,21:00,Meet and Greet,,,,,
Raven,Boleros,02/5/16,Fri,20:00,21:00,Meet and Greet,,,,,
Painful,Boleros,02/5/16,Fri,21:00,22:00,Meet and Greet,,,,,
Tsudjer,Boleros,02/5/16,Fri,21:00,22:00,Meet and Greet,,,,,
Dia De Los Muertos,Viking Crown,02/5/16,Fri,11:00,12:00,Meet and Greet,,,,,
Dead Cross,Viking Crown,02/5/16,Fri,11:00,12:00,Meet and Greet,,,,,
Krisiun,Viking Crown,02/5/16,Fri,12:00,13:00,Meet and Greet,,,,,
Nervosa,Viking Crown,02/5/16,Fri,12:00,13:00,Meet and Greet,,,,,
Abinchova,Viking Crown,02/5/16,Fri,13:00,14:00,Meet and Greet,,,,,
Skalmold,Viking Crown,02/5/16,Fri,13:00,14:00,Meet and Greet,,,,,
Distillator,Viking Crown,02/5/16,Fri,14:00,15:00,Meet and Greet,,,,,
Holy Moses,Viking Crown,02/5/16,Fri,14:00,15:00,Meet and Greet,,,,,
Samael,Viking Crown,02/5/16,Fri,17:00,18:00,Meet and Greet,,,,,
Koyi K Utho,Viking Crown,02/5/16,Fri,17:00,18:00,Meet and Greet,,,,,
Firewind,Viking Crown,02/5/16,Fri,18:00,19:00,Meet and Greet,,,,,
Starkill,Viking Crown,02/5/16,Fri,18:00,19:00,Meet and Greet,,,,,
Arkona,Viking Crown,02/5/16,Fri,19:00,20:00,Meet and Greet,,,,,
Tyr,Viking Crown,02/5/16,Fri,19:00,20:00,Meet and Greet,,,,,
Thyrfing,Viking Crown,02/5/16,Fri,20:00,21:00,Meet and Greet,,,,,
Carach Angren,Viking Crown,02/5/16,Fri,20:00,21:00,Meet and Greet,,,,,
